paper_id,Criteria met
1379,OUT
231,IN
263,OUT
1147,OUT
56,IN
46,IN
165,IN
140,IN
118,OUT
272,IN
134,OUT
156,IN
88,IN
186,IN
193,IN
194,IN
142,OUT
760,IN
275,OUT
108,IN
147,OUT
192,IN
1193,IN
308,OUT
51,IN
161,IN
173,IN
72,IN
296,IN
613,IN
602,IN
49,OUT
122,OUT
271,OUT
123,IN
152,OUT
451,OUT
133,OUT
564,OUT
176,IN
590,OUT
119,IN
521,OUT
956,IN
765,OUT
707,IN
53,IN
997,OUT
68,IN
203,IN
7,OUT
116,OUT
222,OUT
31,OUT
268,OUT
121,OUT
687,IN
1142,IN
549,IN
67,IN
241,OUT
243,IN
262,OUT
150,OUT
210,OUT
236,OUT
235,OUT
128,IN
205,IN
183,OUT
213,OUT
71,OUT
245,OUT
61,OUT
115,OUT
22,IN
169,IN
64,OUT
75,IN
247,OUT
130,IN
125,IN
44,IN
28,OUT
240,IN
16,OUT
12,IN
1192,IN
113,IN
352,IN
504,OUT
274,OUT
131,IN
21,OUT
297,OUT
519,IN
37,OUT
731,IN
40,IN
197,OUT
