"Pair","Var1","Var2","observed","expected","std_residual","significant","direction"
"Level vs Approach","Landscape","MD",23,12.6405451448041,3.50080331302248,TRUE,"EXCESS"
"Level vs Approach","Community","MD",38,48.8926746166951,-2.21291784607089,TRUE,"DEFICIT"
"Level vs Approach","Population","MD",28,19.557069846678,2.35873935753558,TRUE,"EXCESS"
"Level vs Approach","Individual","MD",1,8.10902896081772,-2.94745804380193,TRUE,"DEFICIT"
"Level vs Approach","Landscape","FM",1,12.4599659284497,-3.89196746655772,TRUE,"DEFICIT"
"Level vs Approach","Community","FM",64,48.1942078364566,3.22702324040101,TRUE,"EXCESS"
"Level vs Approach","Population","FO",32,40.7904599659284,-2.0932143495629,TRUE,"DEFICIT"
"Level vs Target_variable","Landscape","Environmental Context",37,6.15017064846416,13.8732532604678,TRUE,"EXCESS"
"Level vs Target_variable","Community","Environmental Context",1,23.6723549488055,-6.13870770231159,TRUE,"DEFICIT"
"Level vs Target_variable","Population","Environmental Context",0,9.51535836177474,-3.53777364637497,TRUE,"DEFICIT"
"Level vs Target_variable","Individual","Environmental Context",0,3.94539249146758,-2.1767487520473,TRUE,"DEFICIT"
"Level vs Target_variable","Landscape","Functional Response",3,15.1945392491468,-3.88389516495213,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Functional Response",117,61.0648464163823,10.6229285284178,TRUE,"EXCESS"
"Level vs Target_variable","Community","Functional Response",8,58.4846416382253,-9.68090938130817,TRUE,"DEFICIT"
"Level vs Target_variable","Population","Functional Response",13,23.5085324232082,-2.76709147531219,TRUE,"DEFICIT"
"Level vs Target_variable","Individual","Functional Response",27,9.74744027303754,6.74137031703696,TRUE,"EXCESS"
"Level vs Target_variable","Landscape","Structure",3,9.58703071672355,-2.46468273027044,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Structure",7,38.5290102389079,-7.03459327682396,TRUE,"DEFICIT"
"Level vs Target_variable","Community","Structure",96,36.901023890785,13.3139237176477,TRUE,"EXCESS"
"Level vs Target_variable","Population","Structure",0,14.8327645051195,-4.58852159450955,TRUE,"DEFICIT"
"Level vs Target_variable","Individual","Structure",0,6.15017064846416,-2.82326108252436,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Process Based Indicator",7,17.8105802047782,-3.35402292519279,TRUE,"DEFICIT"
"Level vs Target_variable","Population","Process Based Indicator",13,6.85665529010239,2.64267606637275,TRUE,"EXCESS"
"Level vs Target_variable","Landscape","Quantity",5,17.6365187713311,-3.86248358878609,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Quantity",52,70.8788395904437,-3.44089815498499,TRUE,"DEFICIT"
"Level vs Target_variable","Population","Quantity",56,27.2866894197952,7.25607584840974,TRUE,"EXCESS"
"Level vs Target_variable","Individual","Quantity",5,11.3139931740614,-2.36775002740804,TRUE,"DEFICIT"
"Approach vs Target_variable","MD","Environmental Context",24,16.1296928327645,2.38647895384455,TRUE,"EXCESS"
"Approach vs Target_variable","FM","Environmental Context",4,16.0136518771331,-3.65193955516717,TRUE,"DEFICIT"
"Approach vs Target_variable","MD","Functional Response",21,39.8498293515358,-4.04808761354603,TRUE,"DEFICIT"
"Approach vs Target_variable","FO","Functional Response",101,83.7133105802048,3.15827818604076,TRUE,"EXCESS"
"Approach vs Target_variable","MD","Structure",9,25.1433447098976,-4.07291391923184,TRUE,"DEFICIT"
"Approach vs Target_variable","FO","Structure",66,52.8191126279863,2.82912691803049,TRUE,"EXCESS"
"Approach vs Target_variable","FM","Process Based Indicator",4,11.5392491467577,-2.65161694984405,TRUE,"DEFICIT"
"Approach vs Target_variable","MD","Quantity",68,46.2542662116041,4.48181210270126,TRUE,"EXCESS"
"Approach vs Target_variable","FM","Quantity",61,45.9215017064846,3.11544637730333,TRUE,"EXCESS"
"Approach vs Target_variable","FO","Quantity",59,97.1672354948805,-6.69216057763111,TRUE,"DEFICIT"
